Cd106,Cd106
E_eV,Sig_b
495.5516,4.5092906
495.5786,4.5524358
495.6055,4.6000763
495.6324,4.6528093
495.6593,4.7111052
495.6863,4.7757125
495.7132,4.8466714
495.7402,4.9250533
495.7671,5.010834
495.7941,5.105224
495.821,5.2081
495.848,5.320812
495.8749,5.443098
495.9019,5.576435
495.9288,5.720376
495.9558,5.876511
495.9827,6.044158
496.0097,6.224995
496.0366,6.418052
496.0635,6.624271
496.0904,6.843873
496.1247,7.143484
496.159,7.465062
496.1933,7.808318
496.2276,8.172619
496.2619,8.55697
496.2962,8.95998
496.3305,9.379856
496.3647,9.813104
496.4137,10.453968
496.4627,11.11029
496.5607,12.425709
496.6146,13.12192
496.6684,13.775085
496.7199,14.34474
496.7713,14.843843
496.7983,15.073535
496.8252,15.277752
496.8522,15.45641
496.8791,15.606757
496.9071,15.732636
496.935,15.825919
496.9675,15.893052
497.0,15.914723
497.0109,15.91175
497.0462,15.866896
497.0814,15.769149
497.1126,15.639328
497.1438,15.470392
497.1666,15.32324
497.1979,15.090345
497.2291,14.824895
497.2661,14.470818
497.3031,14.078944
497.3344,13.721938
497.3657,13.345208
497.4283,12.546656
497.5876,10.410086
497.6502,9.595449
497.6815,9.203643
497.7128,8.824747
497.7441,8.460328
497.7754,8.111669
497.8067,7.779774
497.8379,7.466355
497.865,7.208611
497.892,6.965396
497.9191,6.734954
497.9461,6.518925
497.9732,6.315543
498.0002,6.126056
498.0272,5.949362
498.0542,5.785064
498.0813,5.63217
498.1083,5.491313
498.1353,5.361379
498.1623,5.241812
498.1894,5.131654
498.2164,5.031135
498.2434,4.9392513
498.2704,4.8554252
498.2932,4.7904941
498.316,4.7305705
498.3388,4.6753306
498.3615,4.6246725
498.3843,4.5778494
498.407,4.5349848
498.4298,4.4954236
498.4525,4.4592532
498.4753,4.4259053
498.4981,4.3953091
498.5209,4.3672443
498.5436,4.3416112
498.5891,4.2964085
498.6346,4.2583124
498.6802,4.226064
498.7257,4.1987923
498.7712,4.1755654
498.8167,4.1556729
498.8622,4.1385251
498.9077,4.1236378
498.9532,4.1106147
498.9987,4.0991317
499.0613,4.0853786
499.1239,4.0735189
499.1865,4.0631529
499.2491,4.0539839
499.3743,4.0383883
499.4994,4.0255082
499.6246,4.01457871
499.7497,4.00513667
499.8749,3.99684194
500.0,3.98947667
500.1644,3.98091213
500.3288,3.97335463
500.4932,3.96659487
500.6575,3.96048099
500.8219,3.95488473
